331	=	3934
3348	=	2347
1752	=	2030
5101	=	2136
1023	=	3785
1121	=	2671
379	=	9783
3517	=	2857
916	=	8989
657	=	2023
1025	=	6839
665	=	4503
314	=	14842
3322	=	3551
2067	=	2975
204	=	3791
1037	=	4386
361	=	10122
45	=	6581
337	=	2709
5092	=	2146
772	=	4833
3187	=	2371
930	=	2719
598	=	5362
3129	=	2084
793	=	3219
260	=	7282
265	=	7054
3145	=	2659
3262	=	2358
2284	=	2808
568	=	5975
1644	=	8606
363	=	4187
1071	=	4089
2042	=	2227
269	=	18343
2303	=	4421
784	=	3332
2168	=	2097
86	=	8823
603	=	3833
1481	=	3667
2086	=	2686
800	=	3683
18	=	5917
839	=	2028
37	=	3985
273	=	17177
1864	=	2599
1808	=	4778
2310	=	2480
422	=	3539
316	=	27852
472	=	3190
17	=	2437
870	=	4856
3197	=	3775
526	=	2927
867	=	2023
5	=	5930
353	=	2404
585	=	2665
2163	=	2392
1517	=	3468
230	=	8123
659	=	5415
554	=	2176
3351	=	2598
520	=	4091
1011	=	2261
1131	=	4906
3394	=	3648
1166	=	2699
321	=	9559
3405	=	2745
1458	=	2202
866	=	5790
889	=	2474
2192	=	2170
2018	=	3694
1857	=	3554
339	=	5290
2093	=	2379
1824	=	2065
686	=	6182
351	=	2192
1469	=	3893
397	=	5625
1806	=	2305
738	=	3785
2283	=	2829
253	=	3488
540	=	7710
4990	=	2328
1463	=	2104
296	=	4837
469	=	2200
528	=	3754
240	=	3148
62	=	2853
262	=	2165
20	=	4504
632	=	6444
258	=	3262
687	=	5107
662	=	8448
826	=	2264
4507	=	2357
32	=	11069
3123	=	2282
88	=	3717
1462	=	2069
688	=	4004
77	=	43454
402	=	3449
423	=	10967
140	=	3221
4238	=	2558
1351	=	2339
1960	=	4025
644	=	8673
205	=	21373
24	=	2330
506	=	7178
1570	=	2228
43	=	2877
1519	=	3043
44	=	2577
1801	=	2492
763	=	2089
134	=	2179
118	=	3525
1014	=	2082
266	=	4925
786	=	2817
91	=	12248
330	=	3712
1839	=	3113
766	=	2619
64	=	48262
1865	=	2331
2300	=	2907
130	=	2152
468	=	2119
2029	=	2247
2342	=	2436
160	=	2250
161	=	2207
1019	=	5355
989	=	2912
1065	=	5662
508	=	4530
452	=	5130
978	=	2116
292	=	4218
228	=	2419
144	=	4083
3835	=	2313
1569	=	3034
446	=	23270
354	=	5565
11	=	364065
3695	=	2116
1544	=	2233
41	=	4933
512	=	12921
775	=	5247
2057	=	2123
2251	=	2576
658	=	3004
2817	=	4149
137	=	2892
531	=	7052
837	=	3582
1691	=	2090
438	=	18910
1707	=	3748
139	=	3613
290	=	7876
1769	=	3143
539	=	2429
587	=	4052
747	=	9368
2061	=	2022
421	=	2373
434	=	5836
158	=	5977
376	=	2494
1817	=	2335
458	=	3168
152	=	5947
667	=	10616
2155	=	2192
1	=	197522
689	=	2922
294	=	32247
372	=	3910
582	=	5339
46	=	8827
4068	=	2330
355	=	2267
498	=	2591
131	=	4313
55	=	65412
145	=	7672
1507	=	4320
934	=	7621
234	=	3390
1564	=	2146
255	=	8364
2134	=	2139
2357	=	2635
333	=	3473
938	=	2675
579	=	3219
356	=	4364
1770	=	5186
1144	=	6185
1685	=	2259
87	=	18484
759	=	2507
666	=	2540
3437	=	2349
1812	=	2326
1694	=	2025
1754	=	2868
3456	=	2503
677	=	5182
2941	=	2902
281	=	7673
507	=	2697
2085	=	2410
629	=	2157
2124	=	4218
1140	=	2791
1101	=	4798
845	=	6176
1044	=	4378
467	=	4140
276	=	4915
241	=	3064
329	=	3579
4988	=	2018
2024	=	4257
3820	=	2291
1034	=	3321
1709	=	2455
2332	=	2599
869	=	2770
1077	=	3362
28	=	10111
1612	=	2013
455	=	5357
370	=	3378
2094	=	3159
335	=	2780
838	=	3864
1956	=	5932
229	=	10034
1515	=	2095
879	=	3979
1716	=	2699
2133	=	2722
453	=	3554
3553	=	2389
573	=	5497
212	=	4113
270	=	2682
1838	=	6465
2243	=	2680
1680	=	2413
159	=	2227
342	=	2120
380	=	3197
901	=	4873
69	=	22631
268	=	4669
2954	=	2217
1437	=	2468
39	=	3876
1531	=	2071
1818	=	2413
504	=	14546
999	=	3290
233	=	6468
364	=	12167
2993	=	2850
1829	=	2051
993	=	9231
326	=	2772
2143	=	2546
529	=	2902
2952	=	6933
588	=	2824
350	=	2879
776	=	2746
2190	=	2322
1145	=	2309
882	=	3814
83	=	32212
102	=	3706
871	=	2527
863	=	2604
1018	=	3777
1135	=	2246
109	=	2739
21	=	8763
2403	=	3073
1436	=	2472
1868	=	2407
2821	=	2042
78	=	2656
12	=	5868
1710	=	2149
246	=	8642
344	=	2138
327	=	2645
2025	=	2087
278	=	20114
1775	=	2634
1686	=	2463
51	=	2021
235	=	6133
2448	=	2191
590	=	5874
1141	=	5688
237	=	6257
231	=	4405
2050	=	2890
1134	=	2255
1748	=	4315
815	=	3084
1168	=	2972
1738	=	2146
211	=	4704
1456	=	2344
2298	=	3054
525	=	3747
3141	=	2468
1980	=	2596
248	=	2010
1536	=	4697
970	=	5009
787	=	3622
4	=	78097
220	=	5412
3390	=	2397
885	=	3664
136	=	23679
737	=	17645
1605	=	2109
448	=	5197
242	=	2405
1535	=	2669
259	=	8150
141	=	3341
1052	=	4454
650	=	4703
2019	=	2175
232	=	5366
5093	=	2150
781	=	2291
3603	=	2150
974	=	4092
1496	=	3366
58	=	2413
40	=	24082
154	=	4210
491	=	7154
2059	=	2610
1559	=	2872
1941	=	2292
1810	=	5515
56	=	15752
148	=	69922
1631	=	2047
564	=	3064
3255	=	2174
245	=	3042
829	=	5935
530	=	2590
3	=	450031
465	=	2934
261	=	3417
71	=	6643
777	=	7556
1524	=	2705
537	=	6248
2136	=	2272
27	=	72134
306	=	5525
1863	=	3525
138	=	35127
324	=	5422
358	=	6131
482	=	3134
3416	=	2490
1807	=	2508
2826	=	3811
1906	=	2526
490	=	23225
2145	=	3728
1610	=	2251
997	=	2339
1997	=	4308
155	=	11494
861	=	2116
492	=	6843
85	=	8801
3680	=	2239
744	=	3133
336	=	2728
254	=	10077
510	=	2473
513	=	2526
494	=	7507
1451	=	2042
1138	=	4525
857	=	2290
2041	=	2074
3155	=	2268
236	=	3500
768	=	2712
473	=	6291
399	=	2097
378	=	11508
697	=	3884
1545	=	2209
312	=	3566
2026	=	2967
332	=	3620
694	=	2952
764	=	2622
1514	=	2124
527	=	2602
470	=	6172
303	=	21246
2377	=	2072
563	=	3423
3230	=	2374
338	=	5419
1648	=	2905
2226	=	2482
2135	=	2038
1000	=	2266
1693	=	2779
675	=	2449
1628	=	2641
2847	=	2258
3804	=	3192
858	=	2047
90	=	22062
106	=	3764
515	=	2797
1155	=	2111
1805	=	2236
1566	=	2212
729	=	2919
1541	=	2177
670	=	8938
523	=	2642
221	=	3706
1030	=	4326
206	=	2125
706	=	2512
307	=	3101
3473	=	2210
825	=	2921
435	=	6397
678	=	5909
2072	=	5781
142	=	7322
2886	=	4331
1858	=	2106
73	=	18749
247	=	4541
257	=	2857
499	=	5252
648	=	6123
215	=	21592
1146	=	2496
2035	=	3332
112	=	2666
461	=	2454
1174	=	2346
660	=	2833
151	=	5276
496	=	4533
522	=	6773
2953	=	3489
1800	=	3355
382	=	4185
135	=	18313
1518	=	3064
14	=	11607
897	=	14297
1050	=	2208
987	=	17804
640	=	9163
824	=	2365
49	=	12702
2331	=	4306
719	=	2954
104	=	2406
1751	=	5923
271	=	2155
1132	=	7113
631	=	5428
2	=	42927
1688	=	2341
555	=	5720
753	=	3316
25	=	12668
325	=	2805
827	=	4296
1652	=	2992
1466	=	2025
347	=	2382
357	=	7212
1464	=	4269
368	=	3622
672	=	3427
584	=	7598
927	=	2092
218	=	88598
2159	=	2138
442	=	2830
1529	=	3031
89	=	7204
762	=	8071
6	=	601374
464	=	3056
3957	=	2172
3385	=	2988
774	=	2093
633	=	7277
153	=	2830
2416	=	2075
773	=	5583
534	=	4680
334	=	3375
7	=	86898
1774	=	2095
1305	=	2478
3607	=	2227
424	=	3990
514	=	7402
400	=	4197
521	=	7826
567	=	2027
445	=	3005
832	=	2720
1149	=	3374
516	=	3200
4058	=	2012
1035	=	3664
371	=	3095
